"text","orientacao"
"Adams e Cunha dão versões conflitantes sobre pedido para anular ação da Lava Jato: &lt;p&gt;&lt;strong&gt;Brasília&lt;/strong&gt; - O advogado-geral da...","N"
"Dilma vai dialogar com todos os partidos para recompor a base - Portal Vermelho: http://t.co/0o6OeZpwVU via @portalvermelho","D"
"corrupção é uma fonte e parece que não seca","R"
"Quero muito ir pra célula, faz muito tempo que não vou","N"
"Advogado-geral e Cunha dão versões conflitantes sobre pedido para anular ação da Lava Jato http://t.co/u0ONwGXPNH","N"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/P4CCYUqoRc","R"
"Panelaço durante programa do PT com Dilma e Lula https://t.co/tLSE3V0faA","R"
"Veja: TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""nã... http://t.co/15afCJh4gy Via @querubim_d4","R"
"Governo e Congresso começam a debater agenda pós ajuste fiscal. http://t.co/sqh9grMm4w","N"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/QG9OO0ywa8","R"
"#uol Governo e Congresso começam a debater agenda pós ajuste fiscal:  http://t.co/UUcxUdNWst","N"
"#uol Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BRASÍLIA (Reu... http://t.co/2DeEE8AC8f","N"
"RT @malcolm_gw: Diretor da cultura é Marcos Mendonça,primo de Augusto Mendonça, envolvido na lava jato e Luis Mendonça,min. de FHC e ex-sóc…","D"
"Aquiles Emir: Em São Luís, Dilma manda recado: ""vamos repudiar sistematicamente o vale-tudo contra qualquer governo""","D"
"Líder do governo: Dilma e Temer “estão integrados” | Brasil 24/7 http://t.co/fOwZZOqPRw via @brasil247","D"
"RT @VEJA: TCU votará contas de Dilma a partir do dia 26 http://t.co/RXGSJDlHov","R"
"Governo e Congresso começam a debater agenda pós ajuste fiscal http://t.co/vMysNc1leL","N"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan http://t.co/dDDFrsZnNP","N"
"RT @BlogOlhoNaMira: Atenção @jornalnacional: não fala nada que apareceu o nome Lula, na Lava Jato, ok?","R"
"RT @BR45IL100PT: PT é GOLPE! A MAIOR ENGANADOR CONTRA O TRABALHADOR QUE UM PAÍS JÁ TEVE! TEM DÚVIDA? VEJA O QUADRO ABAIXO: @fegomes74  http…","R"
"RT @pavanramos: @DepEduardoCunha Os membros da AGU repudiam a advocacia de governo. O AGU não nos representa! #PEC443 e #PEC82","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal:  http://t.co/Fn35zsACrb","N"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BRASÍLIA (Reuters)... http://t.co/dt9IdWalJE","N"
"A cada dia fica mais claro que Alckmin e Aécio estão em rota de colisão no ninho tucano. Até sobre o PT eles divergem.","N"
"RT @EstadaoPolitica: Alckmin e Aécio dizem que não cabe à oposição buscar solução para a crise do governo  http://t.co/Ts03f2PG32 via @esta…","N"
"#rt1 Governo e Congresso começam a debater agenda pós ajuste fiscal:  http://t.co/DMGPoMaC65","N"
"#rt1 Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BRASÍLIA (Reu... http://t.co/hQFsBJV7Ek","N"
"@JotaKar @Trunfim Mais um tirando o corpo fora do golpe! Aí tem...","D"
"Ex-diretor Internacional da Petrobras vira réu por corrupção e lavagem http://t.co/qgF495gAhV","N"
"@JornalOGlobo. Dilma, você já nem eh respeitada mais, virou um boneco com a faixa presidencial. Seja humilde, peça a renúncia, hoje! .","R"
"Governo e Congresso começam a debater agenda pós ajuste fiscal http://t.co/YwEoIuqGAu","N"
,
